ticker,period_return,latest_close,baseline_close,latest_date,mean_sentiment,samples
JPM,0.04403631036931818,287.1099853515625,275.0,2025-06-27 00:00:00+00:00,183.0,4
MSFT,0.03883537658557646,495.94000244140625,477.3999938964844,2025-06-27 00:00:00+00:00,54.22222222222222,9
AMZN,0.035433223278527146,217.1199951171875,209.69000244140625,2025-06-26 00:00:00+00:00,30.0,2
SPY,0.0347141798994401,614.9099731445312,594.280029296875,2025-06-27 00:00:00+00:00,275.69565217391306,23
AMC,0.03020131328633127,3.069999933242798,2.9800000190734863,2025-06-27 00:00:00+00:00,49.0,1
UNH,0.028036427035806086,309.1099853515625,300.67999267578125,2025-06-27 00:00:00+00:00,140.0,11
GOOGL,0.01675650769322645,173.5399932861328,170.67999267578125,2025-06-26 00:00:00+00:00,53.2,25
META,0.014530461044205903,708.6799926757812,698.530029296875,2025-06-25 00:00:00+00:00,65.73913043478261,23
NVDA,0.002224484197792933,144.1699981689453,143.85000610351562,2025-06-23 00:00:00+00:00,110.42105263157895,19
AAPL,0.0003980190599735697,201.0800018310547,201.0,2025-06-27 00:00:00+00:00,291.8181818181818,11
TSLA,-0.00659952699533562,323.6300048828125,325.7799987792969,2025-06-27 00:00:00+00:00,66.28571428571429,7
GME,-0.012144012494571685,23.59000015258789,23.8799991607666,2025-06-27 00:00:00+00:00,112.6842105263158,19
