ticker,period_return,latest_close,baseline_close,latest_date,mean_sentiment,samples
JPM,0.03176769571603462,287.1099853515625,278.2699890136719,2025-06-27 00:00:00+00:00,,0
SPY,0.02459376510878119,614.9099731445312,600.1500244140625,2025-06-27 00:00:00+00:00,,0
MSFT,0.020452679920588992,495.94000244140625,486.0,2025-06-27 00:00:00+00:00,,0
AMZN,0.016884943885688408,211.9900054931641,208.47000122070312,2025-06-25 00:00:00+00:00,,0
AMC,0.01655627570598347,3.069999933242798,3.0199999809265137,2025-06-27 00:00:00+00:00,,0
UNH,0.011419377953450957,309.1099853515625,305.6199951171875,2025-06-27 00:00:00+00:00,,0
GOOGL,0.0,173.5399932861328,173.5399932861328,2025-06-26 00:00:00+00:00,,0
NVDA,0.0,144.1699981689453,144.1699981689453,2025-06-23 00:00:00+00:00,,0
TSLA,0.0,323.6300048828125,323.6300048828125,2025-06-27 00:00:00+00:00,,0
AAPL,-0.002084358158537531,201.0800018310547,201.5,2025-06-27 00:00:00+00:00,,0
META,-0.004942459240265719,708.6799926757812,712.2000122070312,2025-06-25 00:00:00+00:00,,0
