ticker,period_return,latest_close,baseline_close,latest_date,mean_sentiment,samples
TSLA,0.0985912015256597,351.6700134277344,320.1099853515625,2025-08-26 00:00:00+00:00,0.2542655616477132,2
NVDA,0.03880448457373727,181.77000427246097,174.97999572753906,2025-08-26 00:00:00+00:00,0.43370927684707566,4
GOOGL,0.03699624225105601,207.13999938964844,199.75,2025-08-26 00:00:00+00:00,0.4657750493244135,4
AMZN,0.03045735462299378,228.7100067138672,221.9499969482422,2025-08-26 00:00:00+00:00,0.37660610201023514,4
CFLT,0.027777750183035924,17.760000228881836,17.280000686645508,2025-08-26 00:00:00+00:00,0.0,4
JPM,0.02435930309733471,298.57000732421875,291.4700012207031,2025-08-26 00:00:00+00:00,0.0,4
META,0.020294953991993336,754.0999755859375,739.0999755859375,2025-08-26 00:00:00+00:00,0.487237449811399,4
AAPL,0.019608731799873484,229.30999755859375,224.8999938964844,2025-08-26 00:00:00+00:00,0.23805917483661326,4
SPY,0.015120738787100671,645.1599731445312,635.5499877929688,2025-08-26 00:00:00+00:00,0.4596193291018406,4
AMC,0.010600696889943285,2.859999895095825,2.8299999237060547,2025-08-26 00:00:00+00:00,0.3843504249602556,4
MSFT,-0.0043629655165401595,502.0400085449219,504.239990234375,2025-08-26 00:00:00+00:00,0.23839718236029148,4
UNH,-0.009625888804953395,300.42999267578125,303.3500061035156,2025-08-26 00:00:00+00:00,0.4045991176707049,4
GME,-0.011524833113331598,22.299999237060547,22.559999465942383,2025-08-26 00:00:00+00:00,0.3142245606854558,4
CCEP,-0.020945318685966982,89.27999877929688,91.19000244140624,2025-08-26 00:00:00+00:00,0.4569477952484041,4
