date,AAPL,AMC,AMZN,CCEP,CFLT,GME,GOOGL,JPM,META,MSFT,NVDA,SPY,TSLA,UNH,^GSPC
2020-08-31,129.0399932861328,58.79999923706055,172.54800415039062,41.15999984741211,,,81.47650146484375,100.19000244140624,293.20001220703125,225.52999877929688,13.374500274658203,349.30999755859375,,312.54998779296875,3500.31005859375
2020-09-01,134.17999267578125,60.70000076293945,174.95599365234375,41.0,,,82.75399780273438,100.13999938964844,295.44000244140625,227.27000427246097,13.821000099182127,352.6000061035156,158.35000610351562,312.8299865722656,3526.64990234375
2020-09-02,131.39999389648438,,176.57249450683594,42.040000915527344,,,85.86949920654297,101.6500015258789,302.5,231.6499938964844,14.346500396728516,357.70001220703125,149.1233367919922,320.239990234375,3580.840087890625
2020-09-03,120.87999725341795,66.0,168.39999389648438,44.09000015258789,,1.955000042915344,81.47550201416016,101.33000183105467,291.1199951171875,217.3000030517578,,345.3900146484375,,316.2300109863281,3455.06005859375
2020-09-04,120.95999908447266,70.19999694824219,164.7310028076172,44.34000015258789,,1.912500023841858,79.06050109863281,103.5199966430664,282.7300109863281,214.25,,342.57000732421875,139.44000244140625,312.0,3426.9599609375
2020-09-08,112.81999969482422,,157.49200439453125,44.119998931884766,,1.924999952316284,76.18000030517578,99.91999816894533,271.1600036621094,202.66000366210935,11.913000106811523,333.2099914550781,,307.25,3331.840087890625
2020-09-09,117.31999969482422,62.599998474121094,163.4304962158203,44.880001068115234,,1.837499976158142,77.36150360107422,100.87000274658205,273.7200012207031,211.2899932861328,12.71500015258789,339.7900085449219,,312.0199890136719,3398.9599609375
2020-09-10,113.48999786376952,59.400001525878906,158.7554931640625,43.880001068115234,,,76.30249786376953,99.83000183105467,268.0899963378906,205.3699951171875,12.311750411987305,333.8900146484375,,304.6000061035156,3339.18994140625
2020-09-11,112.0,57.900001525878906,155.81100463867188,44.81999969482422,,,75.78800201416016,101.06999969482422,266.6099853515625,204.02999877929688,12.16450023651123,334.05999755859375,124.23999786376952,301.4800109863281,3340.969970703125
2020-09-14,115.36000061035156,55.400001525878906,155.14849853515625,44.33000183105469,,,75.44149780273438,102.47000122070312,266.1499938964844,205.41000366210935,12.872249603271484,338.4599914550781,,308.57000732421875,3383.5400390625
2020-09-15,115.54000091552734,55.20000076293945,157.80650329589844,45.310001373291016,,,76.75599670410156,99.27999877929688,272.4200134277344,208.77999877929688,12.991000175476074,340.1700134277344,,307.2300109863281,3401.199951171875
2020-09-16,112.12999725341795,57.599998474121094,153.90499877929688,44.77000045776367,,,75.60449981689453,99.6999969482422,263.5199890136719,205.0500030517578,12.51449966430664,338.82000732421875,147.25332641601562,306.5199890136719,3385.489990234375
2020-09-17,110.33999633789062,57.20000076293945,150.43649291992188,43.720001220703125,,,74.35199737548828,98.55999755859376,254.82000732421875,202.91000366210935,12.463500022888184,335.8399963378906,141.14332580566406,304.9800109863281,3357.010009765625
2020-09-18,106.83999633789062,56.70000076293945,147.74549865722656,41.91999816894531,,2.367500066757202,72.55449676513672,98.3499984741211,252.52999877929688,200.38999938964844,12.189249992370604,330.6499938964844,147.38333129882812,308.0199890136719,3319.469970703125
2020-09-21,110.08000183105467,53.20000076293945,148.02349853515625,39.619998931884766,,2.1875,71.50700378417969,95.30999755859376,248.1499938964844,202.5399932861328,12.517250061035156,326.9700012207031,149.79666137695312,299.19000244140625,3281.06005859375
2020-09-22,111.80999755859376,52.099998474121094,156.44949340820312,39.150001525878906,,,72.99099731445312,94.2699966430664,254.75,207.4199981689453,12.637749671936035,330.29998779296875,141.41000366210938,294.260009765625,3315.570068359375
2020-09-23,107.12000274658205,,149.9929962158203,38.849998474121094,,,70.46949768066406,92.73999786376952,249.02000427246097,200.58999633789065,12.123749732971191,322.6400146484375,,292.1400146484375,3236.919921875
2020-09-24,108.22000122070312,46.099998474121094,150.989501953125,38.41999816894531,,,71.14299774169922,92.66000366210938,249.52999877929688,203.19000244140625,12.347999572753906,323.5,,292.6600036621094,3246.590087890625
2020-09-25,112.27999877929688,48.79999923706055,154.75650024414062,38.709999084472656,,,71.9530029296875,93.47000122070312,254.82000732421875,207.82000732421875,12.873749732971191,328.7300109863281,135.77999877929688,302.5,3298.4599609375
2020-09-28,114.95999908447266,49.099998474121094,158.70249938964844,39.7599983215332,,2.5225000381469727,72.93299865722656,96.16000366210938,256.82000732421875,209.44000244140625,13.03499984741211,334.19000244140625,140.39999389648438,303.2300109863281,3351.60009765625
2020-09-29,114.08999633789062,48.599998474121094,157.24400329589844,38.790000915527344,,2.5875000953674316,73.3010025024414,95.3499984741211,261.7900085449219,207.2599945068359,13.225749969482422,332.3699951171875,139.69000244140625,304.1499938964844,3335.469970703125
2020-09-30,115.80999755859376,47.099998474121094,157.43649291992188,38.810001373291016,,2.549999952316284,73.27999877929688,96.2699966430664,261.8999938964844,210.3300018310547,13.530500411987305,334.8900146484375,143.00332641601562,311.7699890136719,3363.0
2020-10-01,116.79000091552734,46.5,161.06300354003906,39.58000183105469,,2.442500114440918,74.3949966430664,96.97000122070312,266.6300048828125,212.4600067138672,13.614500045776367,337.0400085449219,149.3866729736328,313.07000732421875,3380.800048828125
2020-10-02,113.0199966430664,46.5,156.25,39.790000915527344,,2.3475000858306885,72.77999877929688,97.88999938964844,259.94000244140625,206.19000244140625,13.062250137329102,333.8399963378906,138.3633270263672,311.9800109863281,3348.419921875
