date,model,equity
2020-08-19,LSTM,1.0066063822622169
2020-08-20,LSTM,1.0286713339422282
2020-08-21,LSTM,1.0361004360061985
2020-08-24,LSTM,1.0457737359529073
2020-08-25,LSTM,1.0688558326384412
2020-08-26,LSTM,1.0796857707767265
2020-08-27,LSTM,1.0896446208836337
2020-08-28,LSTM,1.1683330871351736
2020-08-31,LSTM,1.1884901996407522
2020-09-01,LSTM,1.2065581019227942
2020-09-02,LSTM,1.143977671452668
2020-09-03,LSTM,1.141656519178274
2020-09-04,LSTM,1.0922929795810172
2020-09-08,LSTM,1.11215247088946
2020-09-09,LSTM,1.1351569066361427
2020-09-10,LSTM,1.1276064803907504
2020-09-11,LSTM,1.155998683870351
2020-09-14,LSTM,1.1606051487671603
2020-09-15,LSTM,1.1520143169147259
2020-09-16,LSTM,1.1360025574069166
2020-09-17,LSTM,1.1238658295480781
2020-09-18,LSTM,1.1062069743911493
2020-09-21,LSTM,1.1210574669961806
2020-09-22,LSTM,1.075867583318417
2020-09-23,LSTM,1.0809656937093777
2020-09-24,LSTM,1.1089342325269294
2020-09-25,LSTM,1.1255692313902461
2020-09-28,LSTM,1.1240729590602774
2020-09-29,LSTM,1.1310778009745377
2020-09-30,LSTM,1.140498639223563
2020-10-01,LSTM,1.1212529092593762
2020-10-02,LSTM,1.1196526170173426
2020-10-05,LSTM,1.0983022591937552
2020-10-06,LSTM,1.1162729382032948
2020-10-07,LSTM,1.1601656294120102
2020-10-08,LSTM,1.1684692537213412
2020-10-09,LSTM,1.1968476044494825
2020-10-12,LSTM,1.1497847128579315
2020-10-13,LSTM,1.1475467418850969
2020-10-14,LSTM,1.1464601461167399
2020-10-15,LSTM,1.1428993718858247
2020-10-16,LSTM,1.1233374143007768
2020-10-19,LSTM,1.1276161787154166
2020-10-20,LSTM,1.1293262792642893
2020-10-21,LSTM,1.1414066687861903
2020-10-22,LSTM,1.1423278312015144
2020-10-23,LSTM,1.1088540306318315
2020-10-26,LSTM,1.1189173242423345
2020-10-27,LSTM,1.064841252314615
2020-10-28,LSTM,1.0772875528575585
2020-10-29,LSTM,1.0413307492755786
2020-10-30,LSTM,1.0475563337654041
2020-11-02,LSTM,1.0686355432597316
2020-11-03,LSTM,1.0882883008005657
2020-11-04,LSTM,1.1220346471281881
2020-11-05,LSTM,1.1196717027812686
2020-11-06,LSTM,1.1164640274524917
2020-11-09,LSTM,1.0969976257351024
2020-11-10,LSTM,1.1222183540775605
2020-11-11,LSTM,1.109313283869631
2020-11-12,LSTM,1.1110088458153515
2020-11-13,LSTM,1.1341027733664653
2020-11-16,LSTM,1.1277455890005816
2020-11-17,LSTM,1.1462700445907423
2020-11-18,LSTM,1.159908800130853
2020-11-19,LSTM,1.15974911433367
2020-11-20,LSTM,1.2247669359465714
2020-11-23,LSTM,1.247031772618924
2020-11-24,LSTM,1.2677450920003683
2020-11-25,LSTM,1.2871402494021669
2020-11-27,LSTM,1.2789822002929614
2020-11-30,LSTM,1.2830744417386108
2020-12-01,LSTM,1.3030332652916847
2020-12-02,LSTM,1.2700605044597673
2020-12-03,LSTM,1.282578246572856
2020-12-04,LSTM,1.2841238407480005
2020-12-07,LSTM,1.2910568267024585
2020-12-08,LSTM,1.2255718157921882
2020-12-09,LSTM,1.2301514953343722
2020-12-10,LSTM,1.2256974297275742
2020-12-11,LSTM,1.1872849912466839
