model,mse,mae,directional_accuracy,avg_return,volatility,sharpe,cumulative_return
EQUAL_WEIGHT,0.002417473266882735,0.018651450543867888,0.0032742681047765792,0.001415847856082863,0.04914899518810423,0.02880725944984421,16216.873936239255
HYBRID,0.03415080297888369,0.17339746667580516,0.5161414790996784,0.0014177002745072668,0.04917137146190096,0.0288318229156112,16322.326452501247
LSTM,0.013558847494860778,0.06261669891835016,0.4996784565916399,0.0014177002745072668,0.04917137146190096,0.0288318229156112,16322.326452501247
OGDM,0.09158972356390699,0.29976831019412403,0.5187138263665595,0.0014177002745072668,0.04917137146190096,0.0288318229156112,16322.326452501247
RETURN_PERSIST,0.004866276240004522,0.02751750248970388,0.4955059065228557,0.001415847856082863,0.04914899518810423,0.02880725944984421,16216.873936239255
