date,herfindahl,top_weight,num_assets
2025-05-14,0.08333333333333326,0.0833333333333333,12
2025-05-15,0.08333333333333326,0.0833333333333333,12
2025-05-16,0.07692307692307689,0.0769230769230769,13
2025-05-19,0.07692307692307689,0.0769230769230769,13
2025-05-20,0.07692307692307689,0.0769230769230769,13
2025-05-21,0.07692307692307689,0.0769230769230769,13
2025-05-22,0.0909090909090909,0.0909090909090909,11
2025-05-23,0.07692307692307689,0.0769230769230769,13
2025-05-27,0.08333333333333326,0.0833333333333333,12
2025-05-28,0.0909090909090909,0.0909090909090909,11
2025-05-29,0.08333333333333326,0.0833333333333333,12
2025-05-30,0.07692307692307689,0.0769230769230769,13
2025-06-02,0.07692307692307689,0.0769230769230769,13
2025-06-03,0.07692307692307689,0.0769230769230769,13
2025-06-04,0.07692307692307689,0.0769230769230769,13
2025-06-05,0.08333333333333326,0.0833333333333333,12
2025-06-06,0.08333333333333326,0.0833333333333333,12
2025-06-09,0.07692307692307689,0.0769230769230769,13
2025-06-10,0.07692307692307689,0.0769230769230769,13
2025-06-11,0.07692307692307689,0.0769230769230769,13
2025-06-12,0.08333333333333326,0.0833333333333333,12
2025-06-13,0.08333333333333326,0.0833333333333333,12
2025-06-16,0.07692307692307689,0.0769230769230769,13
2025-06-17,0.07692307692307689,0.0769230769230769,13
2025-06-18,0.07692307692307689,0.0769230769230769,13
2025-06-20,0.07692307692307689,0.0769230769230769,13
2025-06-23,0.07692307692307689,0.0769230769230769,13
2025-06-24,0.07692307692307689,0.0769230769230769,13
2025-06-25,0.07692307692307689,0.0769230769230769,13
2025-06-26,0.07692307692307689,0.0769230769230769,13
2025-06-27,0.07692307692307689,0.0769230769230769,13
2025-06-30,0.07692307692307689,0.0769230769230769,13
2025-07-01,0.08333333333333326,0.0833333333333333,12
2025-07-02,0.07692307692307689,0.0769230769230769,13
2025-07-03,0.07692307692307689,0.0769230769230769,13
2025-07-07,0.07692307692307689,0.0769230769230769,13
2025-07-08,0.07692307692307689,0.0769230769230769,13
2025-07-09,0.07692307692307689,0.0769230769230769,13
2025-07-10,0.07692307692307689,0.0769230769230769,13
2025-07-11,0.08333333333333326,0.0833333333333333,12
2025-07-14,0.07692307692307689,0.0769230769230769,13
2025-07-15,0.07692307692307689,0.0769230769230769,13
2025-07-16,0.07692307692307689,0.0769230769230769,13
2025-07-17,0.08333333333333326,0.0833333333333333,12
2025-07-18,0.07692307692307689,0.0769230769230769,13
2025-07-21,0.07692307692307689,0.0769230769230769,13
2025-07-22,0.07692307692307689,0.0769230769230769,13
2025-07-23,0.07692307692307689,0.0769230769230769,13
2025-07-24,0.08333333333333326,0.0833333333333333,12
2025-07-25,0.07692307692307689,0.0769230769230769,13
2025-07-28,0.07692307692307689,0.0769230769230769,13
2025-07-29,0.07692307692307689,0.0769230769230769,13
2025-07-30,0.07692307692307689,0.0769230769230769,13
2025-07-31,0.08333333333333326,0.0833333333333333,12
2025-08-01,0.08333333333333326,0.0833333333333333,12
2025-08-04,0.07692307692307689,0.0769230769230769,13
2025-08-05,0.07692307692307689,0.0769230769230769,13
2025-08-06,0.07692307692307689,0.0769230769230769,13
2025-08-07,0.07692307692307689,0.0769230769230769,13
2025-08-08,0.07692307692307689,0.0769230769230769,13
