date,naive_turnover,constrained_turnover,naive_cost,constrained_cost,turnover_reduction,cost_saving
2020-08-19,0.22727272727272727,0.045454545454545456,0.00022727272727272727,4.545454545454546e-05,0.18181818181818182,0.0001818181818181818
2020-08-20,0.015151515151515152,0.0363,1.5151515151515153e-05,3.63e-05,-0.021148484848484847,-2.114848484848485e-05
2020-08-21,0.015151515151515152,0.029150000000000016,1.5151515151515153e-05,2.9150000000000017e-05,-0.013998484848484864,-1.3998484848484865e-05
2020-08-24,0.1758241758241758,0.04204999999999998,0.00017582417582417582,4.2049999999999985e-05,0.13377417582417583,0.00013377417582417583
2020-08-25,0.0,0.0336,0.0,3.36e-05,-0.0336,-3.36e-05
2020-08-26,0.010989010989010992,0.029099999999999997,1.0989010989010992e-05,2.91e-05,-0.018110989010989006,-1.8110989010989005e-05
2020-08-27,0.021978021978021983,0.024349999999999997,2.1978021978021984e-05,2.4349999999999996e-05,-0.0023719780219780134,-2.3719780219780115e-06
2020-08-28,0.010989010989010992,0.020800000000000006,1.0989010989010992e-05,2.0800000000000008e-05,-0.009810989010989014,-9.810989010989015e-06
2020-08-31,0.054945054945054944,0.02195,5.4945054945054945e-05,2.195e-05,0.03299505494505495,3.299505494505494e-05
2020-09-01,0.010989010989010992,0.017700000000000007,1.0989010989010992e-05,1.7700000000000007e-05,-0.006710989010989016,-6.710989010989015e-06
2020-09-02,0.010989010989010988,0.014699999999999994,1.0989010989010989e-05,1.4699999999999995e-05,-0.003710989010989006,-3.710989010989006e-06
2020-09-03,0.043956043956043966,0.012199999999999997,4.395604395604397e-05,1.2199999999999998e-05,0.03175604395604397,3.175604395604397e-05
2020-09-04,0.06593406593406592,0.0182,6.593406593406593e-05,1.8200000000000002e-05,0.04773406593406592,4.773406593406593e-05
2020-09-08,0.043956043956043966,0.015099999999999994,4.395604395604397e-05,1.5099999999999994e-05,0.02885604395604397,2.8856043956043974e-05
2020-09-09,0.14285714285714285,0.0356,0.00014285714285714284,3.56e-05,0.10725714285714286,0.00010725714285714284
2020-09-10,0.0879120879120879,0.027699999999999992,8.791208791208791e-05,2.7699999999999992e-05,0.06021208791208792,6.0212087912087914e-05
2020-09-11,0.0,0.022049999999999997,0.0,2.2049999999999997e-05,-0.022049999999999997,-2.2049999999999997e-05
2020-09-14,0.03296703296703297,0.02210000000000001,3.296703296703297e-05,2.210000000000001e-05,0.01086703296703296,1.0867032967032962e-05
2020-09-15,0.032967032967032975,0.017900000000000003,3.296703296703298e-05,1.79e-05,0.015067032967032972,1.5067032967032976e-05
2020-09-16,0.13186813186813187,0.03374999999999999,0.00013186813186813188,3.374999999999999e-05,0.09811813186813188,9.81181318681319e-05
2020-09-17,0.03296703296703296,0.029200000000000004,3.2967032967032964e-05,2.9200000000000005e-05,0.003767032967032957,3.7670329670329593e-06
2020-09-18,0.0879120879120879,0.024200000000000017,8.791208791208791e-05,2.4200000000000016e-05,0.06371208791208789,6.371208791208789e-05
2020-09-21,0.14285714285714285,0.034249999999999996,0.00014285714285714284,3.425e-05,0.10860714285714285,0.00010860714285714285
2020-09-22,0.021978021978021983,0.028349999999999993,2.1978021978021984e-05,2.8349999999999995e-05,-0.00637197802197801,-6.3719780219780104e-06
2020-09-23,0.0,0.02285000000000001,0.0,2.285000000000001e-05,-0.02285000000000001,-2.285000000000001e-05
2020-09-24,0.0,0.018150000000000013,0.0,1.8150000000000014e-05,-0.018150000000000013,-1.8150000000000014e-05
2020-09-25,0.10989010989010989,0.015900000000000004,0.00010989010989010989,1.5900000000000004e-05,0.09399010989010989,9.399010989010988e-05
2020-09-28,0.1978021978021978,0.03175,0.00019780219780219779,3.175e-05,0.1660521978021978,0.00016605219780219777
2020-09-29,0.010989010989010985,0.0232,1.0989010989010985e-05,2.3199999999999998e-05,-0.012210989010989014,-1.2210989010989013e-05
2020-09-30,0.06593406593406594,0.020900000000000005,6.593406593406594e-05,2.0900000000000007e-05,0.045034065934065934,4.5034065934065936e-05
2020-10-01,0.03296703296703296,0.01454999999999998,3.2967032967032964e-05,1.454999999999998e-05,0.01841703296703298,1.8417032967032983e-05
2020-10-02,0.12087912087912087,0.025899999999999996,0.00012087912087912087,2.5899999999999996e-05,0.09497912087912087,9.497912087912088e-05
2020-10-05,0.02197802197802197,0.02295,2.197802197802197e-05,2.2950000000000002e-05,-0.0009719780219780323,-9.719780219780316e-07
2020-10-06,0.054945054945054944,0.019799999999999998,5.4945054945054945e-05,1.98e-05,0.035145054945054946,3.5145054945054945e-05
2020-10-07,0.06593406593406594,0.01504999999999999,6.593406593406594e-05,1.5049999999999991e-05,0.05088406593406594,5.088406593406595e-05
2020-10-08,0.03296703296703297,0.01120000000000001,3.296703296703297e-05,1.1200000000000011e-05,0.02176703296703296,2.176703296703296e-05
2020-10-09,0.010989010989010978,0.009049999999999999,1.0989010989010978e-05,9.05e-06,0.0019390109890109787,1.9390109890109787e-06
2020-10-12,0.05494505494505496,0.009749999999999981,5.494505494505496e-05,9.749999999999981e-06,0.04519505494505498,4.519505494505498e-05
2020-10-13,0.054945054945054944,0.009249999999999986,5.4945054945054945e-05,9.249999999999986e-06,0.04569505494505496,4.569505494505496e-05
2020-10-14,0.15384615384615383,0.024599999999999976,0.00015384615384615382,2.4599999999999978e-05,0.12924615384615384,0.00012924615384615385
2020-10-15,0.054945054945054944,0.0252,5.4945054945054945e-05,2.52e-05,0.029745054945054944,2.9745054945054946e-05
2020-10-16,0.1758241758241758,0.036899999999999995,0.00017582417582417582,3.6899999999999996e-05,0.13892417582417582,0.00013892417582417582
